Asset,Quote,Provider,Adapter Name,Adapter,Base,Quote
ONDO,USD,Pyth,Pyth_ONDO/USD,0x8B55cdAE45782d0B543f73d064e881b65d3C3550,0xfAbA6f8e4a5E8Ab82F62fe7C39859FA577269BE3,0x0000000000000000000000000000000000000348
PAXG,USD,Pyth,Pyth_PAXG/USD,0x16230668587e47252A905D5425B82bb9619cD1a5,0x45804880de22913dafe09f4980848ece6ecbaf78,0x0000000000000000000000000000000000000348
PENDLE,USD,Pyth,Pyth_PENDLE/USD,0x51130A9C92f01Be18397aDc79826bBaf5dAf4118,0x808507121b80c02388fad14726482e061b8da827,0x0000000000000000000000000000000000000348
PUFETH,USD,Pyth,Pyth_PUFETH/USD,0x873efB11b064F4643675A11bc265844b357cb47A,0xD9A442856C234a39a81a089C06451EBAa4306a72,0x0000000000000000000000000000000000000348
PXETH,USD,Pyth,Pyth_PXETH/USD,0x70572966fEB31253d2d5aEE07e6323B2C8d96806,0x04c154b66cb340f3ae24111cc767e0184ed00cc6,0x0000000000000000000000000000000000000348
PYUSD,USD,Pyth,Pyth_PYUSD/USD,0xD648Bd39771e10F0BFBF69AFCd966642EE774a88,0x6c3ea9036406852006290770bedfcaba0e23a0e8,0x0000000000000000000000000000000000000348
RDNT,USD,Pyth,Pyth_RDNT/USD,0x83C8E36965fAf05cc63937A8532CEb80Ec86F54B,0x137dDB47Ee24EaA998a535Ab00378d6BFa84F893,0x0000000000000000000000000000000000000348
RETH,USD,Pyth,Pyth_RETH/USD,0x6EEdEfD8899AF188CeBa10cf1514d60F44863ec5,0xae78736cd615f374d3085123a210448e74fc6393,0x0000000000000000000000000000000000000348
RPL,USD,Pyth,Pyth_RPL/USD,0xd27Cacb4adB7313478ef85483210fC146Ba90506,0xd33526068d116ce69f19a9ee46f0bd304f21a51f,0x0000000000000000000000000000000000000348
RSETH,USD,Pyth,Pyth_RSETH/USD,0xa11bcc781F24e87d55D256Edd50d6E8D6aa14628,0xa1290d69c65a6fe4df752f95823fae25cb99e5a7,0x0000000000000000000000000000000000000348
RSR,USD,Pyth,Pyth_RSR/USD,0xFd2e26727305946Bf7a174f5a73bD82147980a47,0x320623b8e4ff03373931769a31fc52a4e78b5d70,0x0000000000000000000000000000000000000348
RSWETH,USD,Pyth,Pyth_RSWETH/USD,0xE8091846E31b30704af37656cD22171C414E4c08,0xFAe103DC9cf190eD75350761e95403b7b8aFa6c0,0x0000000000000000000000000000000000000348
SAFE,USD,Pyth,Pyth_SAFE/USD,0xcB89a692E8233636FDc0033E948dede9762e7cF9,0x5afe3855358e112b5647b952709e6165e1c1eeee,0x0000000000000000000000000000000000000348
SDAI,USD,Pyth,Pyth_SDAI/USD,0xe16E7d93720B470C71e02CD2D483ba18aE0e3DF7,0x83f20f44975d03b1b09e64809b757c47f942beea,0x0000000000000000000000000000000000000348
SFRXETH,USD,Pyth,Pyth_SFRXETH/USD,0x33Aaab978c31C8d2617De81B89C8e49636517785,0xac3E018457B222d93114458476f3E3416Abbe38F,0x0000000000000000000000000000000000000348
SNX,USD,Pyth,Pyth_SNX/USD,0x630fAbEEadC8322747eb2c22035da4e23d675b90,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,0x0000000000000000000000000000000000000348
STG,USD,Pyth,Pyth_STG/USD,0x1800B00250dF88fa5461edF957722a352B3C6378,0xAf5191B0De278C7286d6C7CC6ab6BB8A73bA2Cd6,0x0000000000000000000000000000000000000348
SUSDE,USD,Pyth,Pyth_SUSDE/USD,0xf6D8CcAa6677265F0A419F47539A7A87AA65C987,0x9d39a5de30e57443bff2a8307a4256c8797a3497,0x0000000000000000000000000000000000000348
SUSHI,USD,Pyth,Pyth_SUSHI/USD,0xBf442Eb964Fe9b69D722c72AbD7ded46C9B7434b,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x0000000000000000000000000000000000000348
SWETH,USD,Pyth,Pyth_SWETH/USD,0xb18F83C89a9102D10eB25496326506e1Ace34996,0xf951E335afb289353dc249e82926178EaC7DEd78,0x0000000000000000000000000000000000000348
TBTC,USD,Pyth,Pyth_TBTC/USD,0xa2869a2D515e873F38866f17c22Df5AC59e61DdE,0x18084fba666a33d37592fa2633fd49a74dd93a88,0x0000000000000000000000000000000000000348
TUSD,USD,Pyth,Pyth_TUSD/USD,0x6bADD924D88740dDbD564aE9d7d79113200C24Bf,0x0000000000085d4780b73119b644ae5ecd22b376,0x0000000000000000000000000000000000000348
UNI,USD,Pyth,Pyth_UNI/USD,0xDb69d6A0410977eFD5F68da9995f243A3ed7ff32,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x0000000000000000000000000000000000000348
USDC,USD,Pyth,Pyth_USDC/USD,0xC039229EBCef32f898031eB81f646880F39a190B,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x0000000000000000000000000000000000000348
USDE,USD,Pyth,Pyth_USDE/USD,0x8918D496d0AA72d3de7C8f2a5F02C27a1472CaDb,0x4c9edd5852cd905f086c759e8383e09bff1e68b3,0x0000000000000000000000000000000000000348
USDP,USD,Pyth,Pyth_USDP/USD,0x1343a8334c2C7d04f6126Ab6502642845060f435,0x8e870d67f660d95d5be530380d0ec0bd388289e1,0x0000000000000000000000000000000000000348
USDT,USD,Pyth,Pyth_USDT/USD,0x658ba5f7395774c664C7E6ac18D7E77F7871D45a,0xdac17f958d2ee523a2206206994597c13d831ec7,0x0000000000000000000000000000000000000348
USDY,USD,Pyth,Pyth_USDY/USD,0x922D0c82d70c3c9F8928742E8f75004DEa228FE6,0x96f6ef951840721adbf46ac996b59e0235cb985c,0x0000000000000000000000000000000000000348
WBTC,USD,Pyth,Pyth_WBTC/USD,0x7aE18Fe76854fa5d4AE2E2f59323A61caCD41D31,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x0000000000000000000000000000000000000348
