Asset,Quote,Provider,Adapter Name,Adapter,Base,Quote,Whitelist
EURC,USD,Pyth,Pyth_EURC/USD,0x34718C5519dfc2d2dFD9cd151410D8b0578c83B9,0x60a3E35Cc302bFA44Cb288Bc5a4F316Fdb1adb42,0x0000000000000000000000000000000000000348,Yes
USDC,USD,Pyth,Pyth_USDC/USD,0x963919A10E2FB623010db2a4AeAF752b7F5F90a4,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0x0000000000000000000000000000000000000348,Yes
WSTETH,USD,Pyth,Pyth_WSTETH/USD,0x0F2B82f36468CcC81bA30CBFdAb2E9a078aBB95B,0xc1cba3fcea344f92d9239c08c0568f6f2f0ee452,0x0000000000000000000000000000000000000348,Yes
CBETH,USD,Cross,Cross_CBETH/USD=Chainlink_CBETH/ETH_EXCHANGE_RATE+Chainlink_ETH/USD,0x97F8e80d0E9782eceacee7A0374D1d57CBfDe712,0x2ae3f1ec7f1f5012cfeab0185bfc7aa3cf0dec22,0x0000000000000000000000000000000000000348,Yes
WSTETH,USD,Cross,Cross_WSTETH/USD=Chainlink_WSTETH/STETH_EXCHANGE_RATE+Chainlink_ETH/USD,0xd98feD83755815d33ff25Cf7639C627C5b08fB98,0xc1cba3fcea344f92d9239c08c0568f6f2f0ee452,0x0000000000000000000000000000000000000348,Yes
CBBTC,USD,Cross,Cross_CBBTC/USD=Chronicle_CBBTC/USDC+Chronicle_USDC/USD,0x1714A15c78A2E65846cbAd4D2c223c810597b7b6,0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,0x0000000000000000000000000000000000000348,Yes
WEETH,EETH_EXCHANGE_RATE,Chainlink,Chainlink_WEETH/EETH_EXCHANGE_RATE,0xfF9D1B8FDDba011E8a51E0907C6F167B9117Aa01,0x04C0599Ae5A44757c0af6F9eC3b93da8976c150A,0x4200000000000000000000000000000000000006,Yes
WEETH,USD,Cross,Cross_WEETH/USD=Chainlink_WEETH/EETH_EXCHANGE_RATE+Chainlink_ETH/USD,0x72A061277a5e195bb19B41D26a268D719B0032c3,0x04C0599Ae5A44757c0af6F9eC3b93da8976c150A,0x0000000000000000000000000000000000000348,Yes
BTC,USD,Chainlink,Chainlink_BTC/USD,0x3D5B275186Ec3a7f35991341dcb5d6183882DB2d,0xbBbBBBBbbBBBbbbBbbBbbbbBBbBbbbbBbBbbBBbB,0x0000000000000000000000000000000000000348,No
LBTC_FUNAMENTAL,BTC,RedStone Classic,RedStoneClassic_LBTC_FUNAMENTAL/BTC,0x61c7C35f6A99E8A8fA04896aaf7bf5cc0cF59802,0xecAc9C5F704e954931349Da37F60E39f515c11c1,0xbBbBBBBbbBBBbbbBbbBbbbbBBbBbbbbBbBbbBBbB,Yes
LBTC,USD,Cross,Cross_LBTC/USD=RedstoneClassic_LBTC_FUNAMENTAL/BTC+Chainlink_BTC/USD,0x9fD1020F6EFb83d6b60189268f42ca71855A71Cd,0xecAc9C5F704e954931349Da37F60E39f515c11c1,0x0000000000000000000000000000000000000348,Yes
USDz,USD,Chainlink,Chainlink_USDz/USD,0x04d1B9A85e80380AeF7d0d0540bfF76Cd885c353,0x04D5ddf5f3a8939889F11E97f8c4BB48317F1938,0x0000000000000000000000000000000000000348,Yes
AERO,USD,Chainlink,Chainlink_AERO/USD,0x1e9F00350dA443A0FB532C1CD130487dDa504193,0x940181a94A35A4569E4529A3CDfB74e38FD98631,0x0000000000000000000000000000000000000348,Yes
EZETH,ETH_EXCHANGE_RATE,Chainlink,Chainlink_EZETH/ETH_EXCHANGE_RATE,0x599F480B12C891c98448116c01901C21a506C6a5,0x2416092f143378750bb29b79eD961ab195CcEea5,0x4200000000000000000000000000000000000006,Yes
RETH,ETH,Rate Provider,RateProvider_RETH/ETH,0xdF5D82F07907C6ae725E66851d93B481197Bf339,0xB6fe221Fe9EeF5aBa221c348bA20A1Bf5e73624c,0x4200000000000000000000000000000000000006,Yes
EZETH,USD,Cross,Cross_EZETH/USD=Chainlink_EZETH/ETH_EXCHANGE_RATE+Chainlink_ETH/USD,0x90Ab7611f96a6E07695a3EcB2BcB18b9C2a8F335,0x2416092f143378750bb29b79eD961ab195CcEea5,0x0000000000000000000000000000000000000348,Yes
RETH,USD,Cross,Cross_RETH/USD=RateProvider_RETH/ETH+Chainlink_ETH/USD,0x1cE7ec8636b70CC82978bD01e1AB8eA853e2Aacc,0xB6fe221Fe9EeF5aBa221c348bA20A1Bf5e73624c,0x0000000000000000000000000000000000000348,Yes
USR,USD,Fixed Rate,FixedRate_USR/USD,0xC20dC7913CbFd893e486CFf33CA20fA15Cc2cDaa,0x35E5dB674D8e93a03d814FA0ADa70731efe8a4b9,0x0000000000000000000000000000000000000348,Yes
CBBTC_FUNDAMENTAL,USD,Chainlink,Chainlink_CBBTC_FUNDAMENTAL/USD,0x27208F64626b294542d1aCBA6bB56950cfDa15B7,0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,0x0000000000000000000000000000000000000348,No
PT-LBTC-29MAY2025,CBBTC,Pendle,Pendle_PT-LBTC-29MAY2025/CBBTC,0xaAbfFEC2Decac5fE7A2C3C84a7C2381168F0004b,0x5d746848005507DA0b1717C137A10C30AD9ee307,0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,No
PT-LBTC-29MAY2025,USD,Cross,Cross_PT-LBTC-29MAY2025/USD=Pendle_PT-LBTC-29MAY2025/CBBTC+Chainlink_CBBTC_FUNDAMENTAL/USD,0x4Db9Ec089929F08e6eab73A8b003d728B212C692,0x5d746848005507DA0b1717C137A10C30AD9ee307,0x0000000000000000000000000000000000000348,Yes
LBTC,BTC,Fixed Rate,FixedRate_LBTC/BTC,0x4bF339959E546D5Ed6aD68d32d5670976C9b0d30,0xecAc9C5F704e954931349Da37F60E39f515c11c1,0xbBbBBBBbbBBBbbbBbbBbbbbBBbBbbbbBbBbbBBbB,No
LBTC,USD,Cross,Cross_LBTC/USD=FixedRate_LBTC/BTC+Chainlink_BTC/USD,0x075E6ffE3De2104c964bE36cedAC33477Ad39621,0xecAc9C5F704e954931349Da37F60E39f515c11c1,0x0000000000000000000000000000000000000348,Yes
PT-USR-24APR2025,USR,Pendle,Pendle_PT-USR-24APR2025/USR,0xaD630626c8555965307e8A2C0Df6FEe700032648,0xec443e7E0e745348E500084892C89218B3ba4683,0x35E5dB674D8e93a03d814FA0ADa70731efe8a4b9,No
PT-USR-24APR2025,USD,Cross,Cross_PT-USR-24APR2025/USD=Pendle_PT-USR-24APR2025/USR+FixedRate_USR/USD,0x008919Bae8935499817A9E3B0bD4e48Ef2e24Ea0,0xec443e7E0e745348E500084892C89218B3ba4683,0x0000000000000000000000000000000000000348,Yes
